"0","# NOTE FOR BROTHER SAUNDERS (2/17/26):"
"0","#   - I figured out why the lm (blue line) didn't pass through xbar and y bar (red lines intersection)"
"0","#   - The means, medians, and lm were all calculated using different subsets."
"0","#   - If a row had Heart Rate but not steps the mean and median line would include that row."
"0","#   - However, lm requires both Heart Rate and Steps to have a value (or be finte) for plotting"
"0",""
"0",""
"0","# Clean df where both variables have value in the same row"
"0","df_finite <- health %>% "
"0","  filter(is.finite(HeartRate), is.finite(Steps))"
"0",""
"0","# Line colors"
"0","meanR_medianG <- c(""red"",""green"")"
"0",""
"0",""
"0",""
"0","# > Plot Start"
"0","ggplot(df_finite, aes(x = HeartRate, y = Steps)) +"
"0","# > Scatterplot"
"0","  geom_point(color = ""white"", pch = 19, size = 0.5) +"
"0","# > Base theme"
"0","  theme_bw() +"
"0","# > Custom theme"
"0","  theme("
"0","#   > Black background and white border"
"0","    panel.background = element_rect(fill = ""black""),"
"0","    plot.background  = element_rect(fill = ""black""),"
"0","    panel.border     = element_rect(color = ""white""),"
"0","#   > White text"
"0","    text = element_text(color = ""white""),"
"0","    axis.text = element_text(color = ""white""),"
"0","    axis.title = element_text(color = ""white""),"
"0","#   > Grey grid lines"
"0","    panel.grid.major = element_line(color = ""grey30""),"
"0","    panel.grid.minor = element_line(color = ""grey20""),"
"0","    legend.background = element_rect(fill = ""black"", color = NA)"
"0","    # legend.position = ""none"""
"0","  )+"
"0","# > Custom titles/labels"
"0","  labs("
"0","    title = ""Higher daily average heart rate predicts higher daily total steps"","
"0","    subtitle = ""Green: median; Red: mean; Blue: Linear Model"","
"0","    x = ""Daily Avg Heart Rate"","
"0","    y = ""Daily Total Steps"")+"
"0","# > Vertical Lines"
"0","  geom_vline("
"0","    xintercept = c(mean(df_finite$HeartRate), median(df_finite$HeartRate)),"
"0","    color = meanR_medianG,"
"0","    alpha = .2)+"
"0","# > Horizontal Lines"
"0","  geom_hline("
"0","    yintercept = c(mean(df_finite$Steps), median(df_finite$Steps)),"
"0","    color = meanR_medianG,"
"0","    alpha = .2)+"
"0","# > Linear Model Line"
"0","  geom_smooth(method = ""lm"")"
